@RELATION BooksTrain

@ATTRIBUTE Text string
@ATTRIBUTE sentiments real

@DATA
'gina_germaine',1
'jewish',1
'heartthrob_i',1
'recent',1
'addicted_to',1
'collins_while',1
'wondered_whether',1
'in_hollywood',1
'normally_cant',1
'stand_trash',1
'writing_about',1
'heartthrob',1
'reappears_in',1
'is_really',1
'just_as',1
'her_books',1
'characters',1
'germaine',1
'#label#',2.0
'contains_numerous',2
'omissio',1
'numerous_errors',2
'and_omissio',1
'but_contains',2
'easy',2
'easy_read',2
'contains',2
'errors',2
'errors_and',2
'but',2
'omissions',1
'an',2
'read',2
'read_but',2
'numerous',2
'an_easy',2
'and_omissions',1
'and',2
'#label#',2.0
'art',1
'i_think',3
'think_it',1
'is_written',1
'on',2
'by',1
'it_lol',1
'remember',1
'think_if',1
'people_who',2
'adopt',1
'you\'re_an',1
'or',2
'the_60\'s',1
'lore_these',1
'of',2
'i_would',1
'this',1
'heads',2
'the_life',1
'want_to',1
'there',1
'if_you\'re',1
'alicia',1
'have_been',1
'discover_the',1
'for',4
'that_for',1
'an',1
'already..now_if',1
'discover',1
'more_than',1
'book_already..now',1
'in_the',1
'on_the',1
'or_the',1
'this_book',1
'me_you',1
'an_old',1
'and',3
'me',1
'remember_it',1
'been_there',1
'by_alicia',1
'for_the',1
'encyclopedia_of',1
'heads_or',1
'and_the',1
'young',1
'60\'s',1
'country',1
'is_right',1
'namaste',1
'lifestyle',1
'and_walked',1
'book_i\'ve',1
'you_know',1
'out_in',1
'people_lived',1
'since_it',1
'laurel_or',1
'hippie_like',1
'young_people',1
'you\'re',1
'walked',1
'written_for',1
'hippie_and',1
'who_want',1
'information_is',1
'been',1
'who_have',1
'out',1
'wannabee_hippies',1
'justttt_remember',1
'book',3
'to_discover',1
'had',1
'heads_i',1
'done',1
'people',3
'came',1
'earth_by',1
'walk',1
'know',1
'walked_the',1
'lived',1
'the_art',1
'life',1
'being',1
'hippie',2
'lol_i',1
'book_the',1
'living_on',1
'living',1
'encyclopedia',1
'carla_emery\'s',1
'can',1
'walk_and',1
'it',3
'is',2
'want',1
'in',2
'you',2
'have',1
'if',2
'who',2
'being_a',1
'had_since',1
'first_came',1
'life_and',1
'old_hippie',1
'on_namaste',1
'everything_in',1
'adopt_that',1
'recommend',1
'for_old',1
'i\'ve_had',1
'in_this',1
'right',1
'that_lifestyle',1
'right_on',1
'you_can',1
'old',3
'and_adopt',1
'lol',1
'the_old',1
'justttt',1
'there_done',1
'to',1
'already..now',1
'emery\'s_book',1
'written',1
'it_is',1
'bay_laurel',1
'hippies',1
'these_people',1
'that',2
'of_being',1
'than',1
'a_book',1
'know_everything',1
'or_carla',1
'i',4
'first',1
'think_living',1
'a',2
'more',1
'alicia_bay',1
'carla',1
'it_first',1
'would_recommend',1
'emery\'s',1
'done_that',1
'lore',1
'laurel',1
'since',1
'the',9
'a_hippie',1
'the_information',1
'of_country',1
'like_me',1
'think',3
'everything',1
'art_of',1
'like',1
'the_earth',1
'the_walk',1
'can_justttt',1
'if_you',1
'recommend_a',1
'bay',1
'for_young',1
'information',1
'for_wannabee',1
'these',1
'earth',1
'than_for',1
'country_lore',1
'i\'ve',1
'would',1
'60\'s_i',1
'the_encyclopedia',1
'lifestyle_more',1
'wannabee',1
'lived_the',1
'old_heads',2
'the_people',1
'came_out',1
'#label#',2.0
'rainbow.you_see',1
'is_simply',1
'of_simple',1
'artistry_behind',1
'latter',1
'sky',1
'of_an',1
'profound',1
'gravity\'s_rainbow.you',1
'of_literay',1
'award!!!what_you',1
'read_and',1
'behind',1
'rarely_is',1
'be',2
'equivalent_of',1
'come_to',1
'at',1
'as',1
'carted',1
'of_random',1
'an',3
'amateur_post-modern',1
'think_of',1
'artistry',1
'somebody_give',1
'post-modern_poet',1
'is_that',1
'certain',1
'drivel_so',1
'read',1
'fools',1
'lack',1
'trite_perfectly',1
'perfectly_exemplifies',1
'nostradomus.there_are',1
'smugness',1
'so_much',1
'equivalent',1
'upon',1
'which',3
'a_canvas',1
'myself',1
'fail',1
'con',1
'visible_with',1
'like',1
'sky_space',1
'example_of',1
'with_a',1
'trite',1
'supreme_smugness',1
'of_supreme',1
'be_read',1
'great',1
'kite',1
'of_paint',1
'chaotic_assemblage',1
'that',3
'an_award!!!what',1
'drivel',1
'which_meaning',1
'simply',1
'so_profoundly',1
'here',1
'award!!!what',1
'poet_here',1
'genius_somebody',1
'profound_pompous',1
'simple',1
'pretentious',1
'simple_mind',1
'come',1
'see',2
'to_the',1
'hurling_buckets',1
'terms',1
'to_realize',1
'i\'m_quite',1
'meaning',1
'upon_the',1
'of_course2',1
'work1._that',1
'post-modern_style',1
'canvas',1
'give_me',1
'workball_kite',1
'true_artistry',1
'profoundly',1
'random',1
'to',6
'course2_that',1
'an_amateur',1
'be_carted',1
'literary_genius',1
'an_example',1
'two',1
'to_veil',1
'chaotic',1
'moon_expand',1
'is_quite',1
'their_lack',1
'clearly',1
'somebody',1
'so',2
'exemplifies_the',1
'rainbow',1
'window_flowing',1
'the_think',1
'moon',1
'hurling',1
'something_of',1
'veil',1
'title',1
'the_post-modern',1
'a_certain',1
'obviously',1
'that_which',2
'types',1
'veil_their',1
'clearly_visible',1
'tool_enabling',1
'expand_window',1
'post-modern_con',1
'see_i\'ve',1
'example',1
'lack_of',1
'i\'ve',1
'post-modern',3
'are',1
'a_work',1
'ascribed',1
'about_the',1
'is_pretentious',1
'quite_the',1
'meaning_is',1
'workball',1
'assemblage_of',1
'work',1
'of_my',1
'are_two',1
'heart',1
'those',1
'my_workball',1
'of',12
'those_of',1
'at_a',1
'latter_category.you',1
'certain_nostradomus.there',1
'myself_as',1
'is_an',1
'mind',1
'con_a',1
'great_post-modern',1
'amateur',1
'here_is',1
'simply_a',1
'paint',1
'kite_wolf',1
'buckets',1
'my',1
'random_terms',1
'category.you',1
'supreme',1
'true',1
'the_great',1
'me',1
'and',1
'you',1
'buckets_of',1
'much',1
'visible',1
'heart_moon',1
'poet',1
'give',1
'much_like',1
'to_which',1
'with',1
'face.gravity\'s',1
'genius',1
'enabling_those',1
'literary',2
'profoundly_trite',1
'later',1
'carted_about',1
'a_chaotic',1
'mind_to',1
'absurdity',1
'the_owner\'s',1
'realize',1
'work1.',1
'of_the',1
'pompous_gravity\'s',1
'gravity\'s',1
'course2',1
'rarely',1
'which_is',2
'look_of',1
'perfectly',1
'a_tool',1
'quite',2
'wolf',1
'i\'m',1
'literay',1
'you_fools',1
'tool',1
'rainbow.you',1
'the_literary',2
'fools_fail',1
'the',8
'a_look',1
'space',1
'is',8
'literay_work1.',1
'quite_obviously',1
'look',1
'enabling',1
'behind_absurdity',1
'wolf_sky',1
'ascribed_so',1
'like_a',1
'style_is',1
'terms_to',1
'later_ascribed',1
'something',1
'as_something',1
'pretentious_drivel',1
'principle',1
'that_the',1
'principle_types',1
'pompous',1
'is_to',2
'work_of',1
'title_clearly',1
'face.gravity\'s_rainbow',1
'to_be',2
'flowing',1
'assemblage',1
'rainbow_is',1
'types_of',1
'exemplifies',1
'a',6
'nostradomus.there',1
'two_principle',1
'of_true',1
'fail_to',1
'me_an',1
'see_i\'m',1
'and_of',1
'of_myself',1
'flowing_profound',1
'about',1
'smugness_upon',1
'obviously_a',1
'realize_is',1
'the_latter',1
'i\'ve_come',1
'expand',1
'paint_at',1
'category.you_see',1
'the_title',1
'owner\'s',1
'literary_equivalent',1
'style',1
'think',1
'window',1
'their',1
'is_later',1
'of_hurling',1
'owner\'s_face.gravity\'s',1
'space_heart',1
'#label#',2.0
'a',2
'well',1
'guy_but',1
'appears_to',1
'this_author',1
'am',1
'are',1
'entire_flow',1
'the_entire',1
'se',1
'expected_at',1
'style',1
'disappointed',1
'oh',1
'he_appears',1
'of',4
'but_he\'s',1
'this',1
'be',1
'there_are',1
'expected',1
'of_reading',1
'notes',1
'informed',1
'at',1
'as',1
'to_follow',1
'origins',1
'such',1
'and_per',1
'the_place',1
'a_well',1
'pretty',1
'it\'s_all',1
'se_which',1
'guy',1
'there',1
'writing_style',1
'words_such',1
'is_not',1
'per_se',1
'all_and',1
'style_it\'s',1
'flow',1
'has_one',1
'many_overuses',1
'author',1
'heck',1
'author_has',1
'pretty_disappointed',1
'but',1
'which_disrupt',1
'other_chapters',1
'and',3
'disrupt',1
'all_over',1
'of_words',1
'has',1
'am_pretty',1
'over_the',1
'he_uses',1
'what_i',1
'one',1
'such_as',1
'"insofar"',1
'all',2
'lots_of',1
'reading_it',1
'it',1
'is',1
'flow_of',1
'parentheses',1
'he\'s_very',1
'heck_of',1
'of_dashes',1
'as_"insofar"',1
'very',1
'reading',1
'disrupt_the',1
'notes_about',1
'writing',1
'what',1
'lots',1
'he',2
'plus_there',1
'plus',1
'it\'s',1
'overuses_of',1
'well_informed',1
'to',2
'about_other',1
'"insofar"_and',1
'it_is',1
'and_notes',1
'entire',1
'dashes_parentheses',1
'per',1
'over',1
'a_writing',1
'other',1
'to_be',1
'uses',1
'i',1
'about',1
'chapters',1
'follow_he',1
'chapters_plus',1
'at_all',1
'appears',1
'not',1
'follow',1
'overuses',1
'words',1
'one_heck',1
'place_he',1
'the',2
'uses_lots',1
'hard',1
'please',1
'very_hard',1
'hard_to',1
'be_a',1
'many',1
'dashes',1
'parentheses_and',1
'origins_oh',1
'i_expected',1
'place',1
'not_what',1
'are_many',1
'of_a',1
'oh_please',1
'and_am',1
'which',1
'informed_guy',1
'he\'s',1
'#label#',1.0
'biography_of',1
'mr',2
'like',1
'famously',1
'one',1
'justifiable_role',1
'in_his',1
'familiar_as',1
'role_as',1
'a_brief',1
'beautifully_illustrated',1
'taking',1
'like_his',1
'cautionary_tale',1
'chance',1
'creation',1
'and_playing',1
'illustrated_biography',1
'master_of',1
'and_dangerous',1
'maxon',1
'adaptation_two',1
'robert_louis',2
'tales.included',1
'at',2
'as',6
'old',1
'an',1
'louis_stevenson',2
'black',1
'literary_life',1
'not_so',1
'arrow_and',1
'game',1
'island_',1
'dangerous_cautionary',1
'as_the',1
'name_robert',1
'takes',1
'his_darker',1
'classic_tales',1
'been_found',1
'collection',2
'happy.it',1
'been',1
'sometimes_brutal',1
'lovecraft',1
'bottle',1
'authentic',1
'all',1
'frankenstein',1
'the_old',1
'happy.it_is',1
'eye',1
'was_stevenson',1
'louis',2
'retold',1
'bottle_imp',1
'how_stevenson',1
'take_full',1
'now_bare',1
'about',1
'seductive_poetic',1
'short',1
'tales_not',1
'insight',1
'getting_what',1
'fitting_collaborators',1
'evil',1
'vast',1
'this_volume',1
'fields_of',1
'the',20
'the_comic',1
'is_probably',1
'adventure',1
'life_',1
'stevenson_is',1
'seeking_excitement',1
'probably',1
'stevenson_in',1
'literary',1
'jekyll_stevenson',1
'illustrations',1
'to_desperately',1
'gorgeous',1
'with_magic',1
'who_seek',1
'brothers',1
'a_child',1
'island_is',1
'bargained',1
'dracula',1
'have_loved',1
'strange_case',1
'stevenson_had',1
'showcase',1
'master',1
'of_poems',1
'true',1
'adventure_sprung',1
'his_other',1
'key_tale',1
'transformation_of',1
'poem_i',1
'the_beholders',1
'striptease',1
'this_collection',1
'the_name',1
'are_as',1
'reign',1
'the_basics',1
'hp_lovecraft',1
'of_how',1
'have_been',1
'is_a',3
'pirate',1
'stories',1
'the_weird',1
'and_references.the',1
'collections_a',1
'in_robert',1
'authentic_original',1
'same',1
'short_stories',1
'the_already',1
'stories_this',1
'all_the',1
'elements',1
'island',3
'crumb_brothers',1
'illustrations.a_brief',1
'two_artists',1
'enjoyable',1
'to_mind',1
'have',2
'loved_since',1
'bare_to',1
'graphic_classics',1
'bare',1
'as_a',1
'brilliant_adaptation',1
'stevenson\'s_vast',1
'given',1
'story_are',1
'fables_the',1
'edgar_allen',1
'and_some',1
'brutal',1
'taking_from',1
'story',3
'sweet',1
'with_a',1
'collections_stevenson',1
'justifiable',1
'his_pen',1
'some_tales',1
'and_sometimes',1
'from_stevenson\'s',1
'collaborators_have',1
'already_insightful',1
'island_days."the',1
'for_each',1
'the_crumb',1
'stevenson_now',1
'illustrated_to',1
'human',1
'now.verses_and',1
'of_nod',1
'brief',2
'fitting',1
'treasure_island',3
'of_the',4
'"kidnapped',1
'illustrated_fairy',1
'stevenson\'s',1
'stroll',1
'legends',1
'romance',1
'mind',1
'charles',1
'hawaiian_influences',1
'days."the_nixie',1
'what_you',1
'a_sweet',1
'who',2
'original',1
'and_a',1
'his',5
'fantastic_and',1
'thing_that',1
'graphic',1
'one-eyed',1
'this_darker',1
'poems_and',1
'hearing',1
'excitement',1
'you_wish',1
'and_other',1
'first',1
'over',1
'days."the',1
'of_art',1
'more_than',2
'actually_read',1
'elements_and',1
'art',1
'seeking',1
'tales_of',1
'human_psyche',1
'had_never',1
'are',2
'robert_and',1
'and_men',1
'i_was',1
'art_as',1
'references.the_suicide',1
'i_have',1
'of_chance',1
'bored_dilettantes',1
'robert_crumbs',1
'influences',1
'mr_hyde',2
'frankenstein_but',1
'face_and',1
'men',1
'original_until',1
'to_the',2
'influences_of',1
'since_i',1
'poe',1
'darker_side',1
'magic',1
'in_graphic',1
'beautifully',1
'i_had',1
'for',4
'tale_of',3
'child',2
'a_brilliant',1
'other_classic',1
'this',5
'crumbs_treasure',1
'charles_crumb',1
'nixie_',1
'and_poetic.the',1
'for_and',1
'arethe',1
'witty',1
'hearing_the',1
'tells',1
'vast_collection',1
'strange',1
'vein_as',1
'poetic',1
'tales.included_in',1
'takes_over',1
'dilettantes_seeking',1
'reign_with',1
'and',16
'stevenson_full',1
'this_is',1
'it_was',1
'artists_are',1
'was',2
'than_they',1
'each',1
'lovecraft_collections',1
'the_hawaiian',1
'role',1
'of_dr',1
'the_key',1
'on_treasure',1
'tales',2
'allen_poe',1
'the_land',1
'presented',1
'imp_',1
'comic',1
'leading',1
'had',2
'death_the',1
'from',3
'stroll_into',1
'dangers',1
'with_more',1
'for_an',1
'didn\'t_know',1
'read_the',1
'brilliant',1
'side_at',1
'of_bored',1
'poems',1
'poe_and',1
'poetic.the',1
'pen_leading',1
'the_edgar',1
'until',1
'land_of',1
'springs',1
'story_very',1
'as_familiar',1
'collaborators',1
'to_take',1
'over_the',1
'volume',1
'high',1
'was_a',1
'found_for',1
'beholders_eye',1
'poem',1
'erotic',1
'psyche_fitting',1
'the_authentic',1
'full_use',1
'hyde',2
'desperately',1
'never',1
'a_beautifully',1
'with_gorgeous',1
'and_frankenstein',1
'dracula_and',1
'dark_tale',1
'weird',1
'haunting_and',1
'high_adventure',1
'case',1
'new_elements',1
'from_his',1
'that',1
'life_but',1
'than',2
'famously_influenced',1
'know',1
'beholders',1
'tale',6
'loved',1
'adaptation',1
'child_to',1
'and_short',1
'pen',1
'key',1
'now',1
'not',1
'each_story',1
'weird_tale',1
'treasure',3
'take',1
'darker_face',1
'nod',1
'what',1
'crumbs',1
'than_one',1
'play_in',2
'more',2
'mind_from',1
'life',2
'famous',1
'and_fables',1
'jekyll',2
'fables_',1
'crumb',3
'arethe_strange',1
'old_romance',1
'given_reign',1
'other_collections',1
'story_lending',1
'dr_jekyll',2
'dilettantes',1
'of_this',2
'is_presented',1
'thing',1
'imp',1
'with',4
'sweet_and',1
'sometimes',1
'hawaiian',1
'nixie',1
'other_famous',1
'leading_more',1
'chance_and',1
'name',1
'legends_robert',1
'into_his',1
'artists',1
'poetic_striptease',1
'up',1
'tale_at',1
'brief_illustrated',1
'actually',1
'illustrations_and',1
'so_happy.it',1
'of_erotic',1
'sprung_from',1
'allen',1
'excitement_who',1
'to',6
'read',1
'illustrated',3
'but',3
'full',2
'transformation',1
'and_charles',1
'a_poem',1
'suicide_club',1
'never_actually',1
'so',1
'eye_is',1
'fields',1
'insightful',1
'found',1
'presented_in',1
'the_dangers',1
'nod_is',1
'playing_with',1
'pirate_to',1
'a_dark',1
'"_black',1
'classics',1
'true_tale',1
'darker',2
'very',1
'witty_illustrations',1
'very_enjoyable',1
'seductive',1
'influenced',1
'"kidnapped_"',1
'classic',1
'stevenson_famously',1
'haunting',1
'wish_for',2
'and_mr',1
'striptease_with',1
'comic_legends',1
'are_given',1
'a_master',1
'wind',1
'included',1
'dangers_of',1
'his_justifiable',1
'club_',1
'as_mr',1
'land',1
'play',2
'lending',1
'a_showcase',1
'from_hearing',1
'new',1
'some',1
'on',1
'black_arrow',1
'sprung',1
'into',1
'stevenson_"kidnapped',1
'of',18
'romance_retold',1
'a_transformation',1
'tale_haunting',1
'psyche',1
'first_thing',1
'now.verses',1
'included_in',1
'they',1
'insightful_tales.included',1
'one_child',1
'for_a',1
'full_of',1
'as_dracula',1
'but_i',1
'getting',1
'springs_to',1
'collection_and',1
'magic_illustrated',1
'two',1
'brothers_on',1
'crumb_included',1
'in_the',2
'bored',1
'maxon_crumb',1
'is_this',1
'hyde_takes',1
'and_insight',1
'that_springs',1
'case_of',1
'and_hp',1
'as_in',1
'familiar',1
'this_story',1
'tale_about',1
'showcase_of',1
'classics_robert',1
'brutal_fables',1
'brief_literary',1
'edgar',1
'other',3
'fantastic',1
'crumb_tells',1
'until_now.verses',1
'gorgeous_illustrations.a',1
'stevenson',7
'wish',2
'but_like',1
'fairy_tale',1
'his_life',1
'in_other',1
'know_it',1
'dangerous',1
'an_evil',1
'use',1
'probably_the',1
'erotic_fantastic',1
'cautionary',1
'it',1
'is',6
'they_bargained',1
'in',7
'illustrations.a',1
'collections',2
'poetic.the_bottle',1
'club',1
'wind_up',1
'evil_game',1
'face',1
'vein',1
'a_seductive',1
'the_same',1
'robert',4
'the_fields',1
'hp',1
'suicide',1
'child_but',1
'references.the',1
'the_human',1
'dark',1
'collection_of',1
'playing',1
'had_his',1
'fables',2
'of_high',1
'one-eyed_pirate',1
'about_the',1
'a_one-eyed',1
'of_witty',1
'up_with',1
'men_who',1
'the_true',1
'since',1
'insight_to',1
'bargained_for',1
'i',3
'creation_dr',1
'arrow',1
'a',12
'influenced_the',1
'of_stevenson',1
'desperately_wish',1
'game_of',1
'seek',1
'who_wind',1
'but_didn\'t',1
'death',1
'same_vein',1
'of_getting',1
'you',1
'jekyll_and',1
'at_play',2
'lending_new',1
'already',1
'basics',1
'how',1
'the_first',1
'tells_the',1
'"',1
'seek_death',1
'to_stroll',1
'biography',1
'side',1
'use_of',1
'in_this',1
'dr',2
'the_story',1
'famous_creation',1
'basics_of',1
'fairy',1
'volume_arethe',1
'hyde_',1
'didn\'t',1
'#label#',5.0
'go_along',1
'lame_very',1
'very_disappointing',1
'very',1
'my_grandchildren',1
'pretty',1
'monkey',1
'to_go',1
'for_my',1
'monkey_i',1
'story',1
'i_bought',1
'is',1
'the_story',1
'grandchildren_the',1
'sock',1
'book_to',1
'pretty_lame',1
'with_a',1
'the',1
'eeek',1
'story_is',1
'made',1
'this',1
'made_for',1
'my',1
'book',1
'sock_monkey',1
'this_book',1
'a_sock',1
'along',1
'bought',1
'lame',1
'i_made',1
'to',1
'for',1
'disappointing',1
'with',1
'along_with',1
'i',2
'go',1
'bought_this',1
'is_pretty',1
'grandchildren',1
'a',1
'#label#',2.0
'i',6
'available',1
'no',1
'&quot;--and_then',1
'as_the',1
'of_passive',1
'extended',1
'poorly',1
'compelling_reading',1
'brown',1
'relations_(&quot;the',1
'extended_use',1
'this_book',1
'desperate',1
'the_&quot;--and',1
'style_there',1
'(&quot;when_a',1
'editing',1
'written_textbook',1
'magazine',1
'poor.&quot;)_maybe',1
'obvious',1
'quality',1
'be',1
'much_as',1
'using',2
'make_for',1
'repeated_statements',1
'writing_moreover',1
'may_all',1
'as',5
'have',1
'i\'m_a',1
'explanations',1
'the_herbert',1
'&quot;--and',1
'regulations_do',1
'and_lifelong',1
'excuse',1
'unexplained',1
'textbook',3
'statements',1
'and_government',1
'required',1
'read',2
'someone_to',1
'obvious_coupled',1
'these_authors',1
'results&quot;)',1
'<num>',1
'with_the',1
'but',1
'read_i\'m',1
'just',1
'of_poverty',1
'desperate_need',1
'bother_finishing',1
'as_much',1
'the_publisher',1
'poorly_written',1
'reading_but',1
'i_do',1
'of_social',1
'there_is',1
'blame_the',1
'list_includes',1
'professional',1
'a_desperate',1
'but_there\'s',1
'call',1
'good_style',1
'will_grant',1
'reading',1
'a_course',1
'the_required',1
'finishing',1
'basic',1
'to_write',1
'tenet_of',1
'terminology_i\'m',1
'book_available',1
'ridiculous',1
'i_blame',1
'of_newspaper',1
'writer_of',1
'it_i',1
'most',1
'lifelong',1
'maybe',1
'word_choice',1
'there',1
'on_this',1
'years_student',1
'poor',2
'g',1
'voice',1
'this_is',1
'economics',1
'course_in',1
'of_economics',1
'violate_just',1
'student',1
'of_writing',1
'to_the',1
'textbook_in',1
'terms',1
'g_brown',1
'i\'m_using',1
'no_excuse',1
'terminology',1
'as_well',1
'writing_styles',1
'we',1
'lot',1
'the_best',1
'short',1
'basic_explanations',1
'the_extended',1
'use',3
'most_poorly',1
'(&quot;the',1
'articles_these',1
'choice',1
'extreme_unnecessary',1
'government_regulations',1
'unemployment_results&quot;)',1
'(&quot;the_burden',1
'to',2
'social_relations',1
'course',1
'for_using',1
'write_another',1
'although',1
'ever',1
'magazine_articles',1
'statements_of',1
'poor_editing',1
'violate',1
'object_to',1
'lies',1
'need_for',1
'also',1
'i\'ve_ever',1
'this',4
'tenet',1
'passive',1
'all_be',1
'social',1
'unemployment',1
'make',1
'doctrine',1
'passive_voice',1
'hoover_doctrine',1
'and_the',1
'the_authors',1
'poor.&quot;)',1
'out',1
'relations',1
'terms_and',1
'newspaper_and',1
'bother',1
'i\'ve',2
'subject',1
'that_basic',1
'are',1
'(&quot;when',1
'of_expository',1
'work',1
'proofreader',1
'word',1
'government',1
'industrial',1
'in_this',1
'every',1
'available_on',1
'will',1
'work_unemployment',1
'grant',1
'for_someone',1
'regulations',1
'best',1
'or',1
'on',1
'burden_of',1
'then_also',1
'someone',1
'for',4
'results&quot;)_and',1
'of',14
'factual',1
'of_safety',1
'too--&quot;_school',1
'textbook_i\'ve',2
'do_the',1
'articles',1
'book',2
'burden',1
'this_as',1
'then',1
'safety_terms',1
'we_have',1
'styles',1
'there\'s_no',1
'blame',1
'what',1
'edmund',1
'wouldn\'t',1
'of_arcane',1
'brown_theory',1
'voice_poor',1
'extreme',1
'for_compelling',1
'unnecessary_use',1
'out_of',1
'these',1
'expository',1
'lies_mainly',1
'using_this',1
'expository_writing',1
'hoover',1
'so',1
'and',4
'the_poor.&quot;)',1
'i_call',1
'much',1
'are_out',1
'may',1
'the_most',1
'newspaper',1
'not_make',1
'or_i',1
'in_industrial',1
'with',2
'need',1
'i_wouldn\'t',1
'<num>_years',1
'of_people',1
'what_i',1
'of_good',1
'wouldn\'t_bother',1
'in_a',1
'call_the',1
'editing_as',1
'another',1
'required_textbook',1
'good',1
'doctrine_of',1
'poverty',1
'do_not',1
'writing',2
'mainly_with',1
'all',1
'quality_textbook',1
'publisher_for',1
'be_factual',1
'poorest',1
'of_the',2
'authors_violate',1
'publisher',1
'school',1
'authors',2
'that',1
'grant_that',1
'every_tenet',1
'a_professional',1
'unnecessary',1
'i\'m',2
'styles_as',1
'the_short',1
'herbert',1
'as_i',1
'poorest_quality',1
'too--&quot;',1
'professional_proofreader',1
'information_in',1
'as_a',1
'a_writer',1
'it',2
'is',3
'authors_i',1
'the_obvious',1
'in',3
'so_we',1
'i\'ve_read',1
'if',1
'well',1
'safety_or',1
'using_what',1
'object',1
'proofreader_and',1
'if_so',1
'i_will',1
'people_are',1
'lifelong_<num>',1
'economics_(&quot;when',1
'the_edmund',1
'safety',2
'industrial_safety',1
'repeated',1
'for_poor',1
'just_about',1
'subject_if',1
'school_of',1
'poor_word',1
'coupled_with',1
'short_list',1
'theory',1
'list',1
'years',1
'coupled',1
'includes_extreme',1
'poverty_lies',1
'ridiculous_repeated',1
'is_the',3
'factual_it',1
'student_of',1
'people',1
'a',5
'compelling',1
'it_is',1
'maybe_this',1
'arcane_terminology',1
'well_as',1
'have_a',1
'a_lot',1
'not',1
'includes',1
'this_subject',1
'explanations_of',1
'about',1
'written',1
'and_magazine',1
'arcane',1
'writer',1
'ever_read',1
'use_of',3
'moreover',1
'excuse_for',1
'book_may',1
'about_every',1
'the_information',1
'although_the',1
'write',1
'i_object',1
'edmund_g',1
'choice_ridiculous',1
'moreover_i',1
'with_unexplained',1
'the',13
'best_book',1
'finishing_it',1
'there\'s',1
'style',1
'theory_of',1
'do',2
'lot_of',1
'of_work',1
'herbert_hoover',1
'also_too--&quot;',1
'unexplained_use',1
'information',1
'mainly',1
'#label#',1.0
'interview_with',1
'at',1
'related_to',1
'like',1
'but_his',1
'one',1
'vampires_are',1
'repeating',1
